tanggal	Jateng
01/02/2021	38365
02/02/2021	38038
03/02/2021	38803
04/02/2021	39712
05/02/2021	41067
06/02/2021	42543
07/02/2021	43498
08/02/2021	43264
09/02/2021	43499
10/02/2021	43398
11/02/2021	43620
12/02/2021	44110
13/02/2021	44207
14/02/2021	44569
15/02/2021	45198
16/02/2021	45983
17/02/2021	46609
18/02/2021	46873
19/02/2021	47599
20/02/2021	47930
21/02/2021	48177
22/02/2021	48058
23/02/2021	48094
24/02/2021	48712
25/02/2021	48231
26/02/2021	47635
27/02/2021	45699
28/02/2021	43280
01/03/2021	43030
02/03/2021	43187
03/03/2021	42389
04/03/2021	42259
05/03/2021	42906
06/03/2021	43444
07/03/2021	43263
08/03/2021	41749
09/03/2021	40732
10/03/2021	40364
11/03/2021	40275
12/03/2021	39989
13/03/2021	39920
14/03/2021	39956
15/03/2021	40070
16/03/2021	39223
17/03/2021	39093
18/03/2021	38797
19/03/2021	38502
20/03/2021	38411
21/03/2021	38406
22/03/2021	37392
23/03/2021	37092
24/03/2021	36301
25/03/2021	36269
26/03/2021	35983
27/03/2021	36030
28/03/2021	36130
29/03/2021	35583
30/03/2021	35088
31/03/2021	34907
01/04/2021	34736
02/04/2021	34827
03/04/2021	34958
04/04/2021	35111
05/04/2021	33415
06/04/2021	33236
07/04/2021	31547
08/04/2021	29586
09/04/2021	27347
10/04/2021	27312
11/04/2021	27139
12/04/2021	26599
13/04/2021	25491
14/04/2021	24406
15/04/2021	23092
16/04/2021	21847
17/04/2021	20545
18/04/2021	19575
19/04/2021	18361
20/04/2021	16653
21/04/2021	15161
22/04/2021	14091
23/04/2021	12849
24/04/2021	12494
25/04/2021	12429
26/04/2021	12533
27/04/2021	12203
28/04/2021	11736
29/04/2021	10839
30/04/2021	10241
01/05/2021	10182
02/05/2021	10263
03/05/2021	10164
04/05/2021	9844
05/05/2021	9726
06/05/2021	9659
07/05/2021	9409
08/05/2021	9091
09/05/2021	8750
10/05/2021	8782
11/05/2021	8461
12/05/2021	8254
13/05/2021	7587
14/05/2021	7277
15/05/2021	7056
16/05/2021	6987
17/05/2021	6820
18/05/2021	6728
19/05/2021	6895
20/05/2021	6949
21/05/2021	7399
22/05/2021	7734
23/05/2021	7816
24/05/2021	7821
25/05/2021	8155
26/05/2021	8429
27/05/2021	8878
28/05/2021	8958
29/05/2021	9328
30/05/2021	10050
31/05/2021	10334
01/06/2021	11040
02/06/2021	11576
03/06/2021	11783
04/06/2021	12045
05/06/2021	13000
06/06/2021	13450
07/06/2021	13652
08/06/2021	14424
09/06/2021	14926
10/06/2021	15812
11/06/2021	16032
12/06/2021	16723
13/06/2021	19122
14/06/2021	19820
15/06/2021	20572
16/06/2021	21209
17/06/2021	21932
18/06/2021	22422
19/06/2021	24026
20/06/2021	25981
21/06/2021	26988
22/06/2021	27686
23/06/2021	28204
24/06/2021	30256
25/06/2021	30322
26/06/2021	32006
27/06/2021	33805
28/06/2021	34391
29/06/2021	35757
30/06/2021	35990
01/07/2021	36759
02/07/2021	37911
03/07/2021	39447
04/07/2021	41364
05/07/2021	43110
06/07/2021	45498
07/07/2021	46039
08/07/2021	47803
09/07/2021	49098
10/07/2021	50944
11/07/2021	50943
12/07/2021	50950
13/07/2021	51618
14/07/2021	53756
15/07/2021	55663
16/07/2021	56943
17/07/2021	60673
18/07/2021	61773
19/07/2021	61869
20/07/2021	60771
21/07/2021	60659
22/07/2021	59513
23/07/2021	59470
24/07/2021	60593
25/07/2021	62175
26/07/2021	61266
27/07/2021	61352
28/07/2021	61140
29/07/2021	58727
30/07/2021	57159
31/07/2021	57147
01/08/2021	56649
02/08/2021	57298
03/08/2021	57659
04/08/2021	55173
05/08/2021	51356
06/08/2021	45972
07/08/2021	46081
08/08/2021	45053
09/08/2021	42751
10/08/2021	40469
11/08/2021	38236
12/08/2021	35694
13/08/2021	35861
14/08/2021	34809
15/08/2021	34519
16/08/2021	33839
17/08/2021	31619
18/08/2021	28393
19/08/2021	27629
20/08/2021	29538
21/08/2021	28949
22/08/2021	28069
23/08/2021	27627
24/08/2021	28006
25/08/2021	27216
26/08/2021	26758
27/08/2021	26735
28/08/2021	26748
29/08/2021	25959
30/08/2021	25483
31/08/2021	24985
01/09/2021	24668
02/09/2021	20699
03/09/2021	19999
04/09/2021	19957
05/09/2021	19901
06/09/2021	19603
07/09/2021	18917
08/09/2021	18496
09/09/2021	18303
10/09/2021	18128
11/09/2021	18030
12/09/2021	16180
13/09/2021	14472
14/09/2021	12708
15/09/2021	11084
16/09/2021	9438
17/09/2021	7735
18/09/2021	6690
19/09/2021	5497
20/09/2021	3885
21/09/2021	3777
22/09/2021	3686
23/09/2021	3755
24/09/2021	3798
25/09/2021	3885
26/09/2021	3872
27/09/2021	3795
28/09/2021	3791
29/09/2021	3684
30/09/2021	3518
