Kasus Aktif	Aceh	Bali	Banten	Babel	Bengkulu	DIY	Jakarta	Jambi	Jabar	Jateng	Jatim
21-Mar	0	2	40	0	0	4	227	0	47	11	25
22-Mar	0	1	43	0	0	4	256	0	45	12	40
23-Mar	0	4	52	0	0	4	301	1	45	12	40
24-Mar	0	4	60	0	0	4	370	1	45	16	50
25-Mar	0	7	62	0	0	14	409	1	58	34	49
26-Mar	1	7	62	0	0	13	444	1	62	34	53
27-Mar	4	7	79	0	0	19	516	1	79	37	54
28-Mar	4	7	98	0	0	19	522	1	96	48	65
29-Mar	5	8	101	0	0	19	562	1	124	56	72
30-Mar	5	17	123	1	0	15	576	2	152	74	67
31-Mar	5	17	136	2	0	20	616	2	166	86	69
1-Apr	5	13	131	1	0	25	673	2	188	97	78
2-Apr	5	13	143	1	0	23	755	2	187	97	71
3-Apr	5	15	149	1	1	23	829	2	188	85	119
4-Apr	4	20	149	1	1	29	883	2	207	91	109
5-Apr	4	15	153	1	1	30	973	2	212	88	144
6-Apr	4	23	163	1	1	36	1068	2	221	96	137
7-Apr	4	23	169	1	1	37	1198	2	297	97	137
8-Apr	5	29	187	1	1	28	1286	2	313	104	134
9-Apr	4	43	191	2	3	28	1482	2	317	104	157
10-Apr	3	54	215	2	3	28	1517	2	329	104	172
11-Apr	3	58	251	3	3	28	1707	4	362	104	178
12-Apr	3	60	253	3	3	28	1707	4	388	156	291
13-Apr	0	64	256	3	3	44	1840	4	466	159	337
14-Apr	0	69	251	3	3	37	1931	5	455	233	358
15-Apr	0	73	249	4	3	37	2068	6	484	246	373
16-Apr	0	79	258	5	3	33	2224	7	489	254	382
17-Apr	0	86	268	5	3	32	2365	8	535	227	382
18-Apr	1	92	278	5	3	34	2466	8	544	244	410
19-Apr	2	94	281	6	3	33	2511	8	592	254	438
20-Apr	2	95	289	5	3	34	2580	7	629	256	436
21-Apr	2	105	289	5	6	35	2676	12	613	354	447
22-Apr	2	101	273	5	6	38	2760	12	612	372	479
23-Apr	2	108	273	6	6	37	2890	13	623	431	492
24-Apr	3	118	287	6	6	34	2946	17	695	463	495
25-Apr	4	109	298	6	6	36	3004	20	737	509	562
26-Apr	4	107	298	7	6	39	3110	31	742	519	560
27-Apr	4	109	309	7	6	39	3165	31	777	520	568
28-Apr	4	123	314	7	6	47	3269	31	787	535	623
29-Apr	4	115	314	7	10	47	3282	31	823	551	625
30-Apr	5	105	329	7	10	45	3318	31	786	563	705
1-May	6	110	343	14	10	53	3454	31	784	574	773
2-May	4	104	352	14	10	59	3492	31	812	593	766
3-May	5	107	357	15	10	59	3433	37	817	602	832
4-May	4	108	371	15	10	58	3499	37	1007	624	829
5-May	4	113	300	23	10	62	3574	42	1046	655	874
6-May	9	107	324	23	12	62	3615	46	1053	682	899
7-May	9	100	317	23	12	73	3687	46	1109	695	928
8-May	5	101	327	21	12	77	3786	46	1128	707	931
9-May	5	105	345	21	35	80	3877	61	1140	720	1051
10-May	5	103	355	22	35	86	3953	61	1140	739	1129
11-May	5	100	339	21	35	91	4023	62	1185	685	1143
12-May	4	109	350	21	38	99	4008	62	1234	694	1256
13-May	4	108	366	21	38	106	4079	62	1221	728	1335
14-May	3	110	378	21	39	110	4074	63	1224	771	1418
15-May	3	107	404	21	50	110	4038	66	1237	805	1449
16-May	2	99	407	21	53	109	4126	76	1256	823	1620
17-May	2	94	430	5	62	106	4241	76	1222	840	1646
18-May	2	98	453	4	63	102	4289	77	1157	843	1750
19-May	2	92	474	4	64	104	4356	80	1165	853	1780
20-May	2	91	475	10	64	104	4435	85	1340	869	1881
21-May	2	90	517	11	64	102	4362	85	1416	892	2354
22-May	3	92	530	9	58	95	4390	83	1445	909	2460
23-May	1	97	530	12	58	96	4450	83	1447	963	2898
24-May	1	97	547	11	58	96	4547	82	1484	980	2915
25-May	1	97	547	11	58	94	4553	82	1506	981	3105
26-May	1	108	563	11	58	87	4629	82	1488	970	3136
27-May	1	109	570	14	53	86	4704	82	1473	981	3300
28-May	2	102	560	14	55	78	4790	82	1453	990	3431
29-May	2	119	559	14	50	73	4880	82	1477	944	3499
30-May	2	123	545	17	62	67	4708	82	1471	941	3652
31-May	2	132	548	18	67	68	4749	82	1497	972	3852
1-Jun	2	143	546	17	67	63	4695	82	1531	977	3856
2-Jun	2	148	541	21	65	61	4624	82	1515	991	4018
3-Jun	2	136	612	33	65	59	4514	80	1464	1013	4090
4-Jun	1	141	617	42	65	55	4560	72	1480	1036	3882
5-Jun	1	150	595	46	64	56	4491	74	1444	1054	3896
6-Jun	1	181	589	63	51	56	4510	76	1439	1079	4011
7-Jun	1	204	594	66	48	54	4374	76	1368	1099	4056
8-Jun	1	212	604	65	48	54	4386	76	1311	1116	4312
9-Jun	1	194	598	79	42	50	4451	76	1325	1063	4435
10-Jun	3	223	622	80	41	48	4451	78	1350	1084	4595
11-Jun	3	230	635	82	40	49	4452	78	1374	1098	4757
12-Jun	3	242	664	83	42	58	4419	79	1354	1092	4981
13-Jun	2	255	734	81	35	52	4473	71	1333	1134	4891
14-Jun	7	261	721	80	37	51	4334	71	1308	1226	5001
15-Jun	7	252	704	79	33	53	4368	71	1319	1289	5193
16-Jun	6	266	713	79	35	52	4336	63	1349	1315	5346
17-Jun	15	281	722	76	34	52	4341	64	1357	1365	5501
18-Jun	16	336	713	50	34	49	4365	64	1356	1381	5794
19-Jun	16	404	714	44	31	43	4378	66	1373	1428	5817
20-Jun	17	420	699	39	37	46	4423	66	1396	1506	6089
21-Jun	27	438	706	39	36	49	4331	66	1414	1583	6038
22-Jun	27	456	712	39	36	42	4384	66	1407	1603	6274
23-Jun	27	468	711	29	37	45	4428	48	1413	1598	6459
24-Jun	31	503	721	20	35	42	4480	48	1448	1662	6553
25-Jun	44	546	730	19	32	44	4558	48	1416	1740	6545
26-Jun	47	522	732	16	26	42	4638	48	1341	1917	6676
27-Jun	53	607	742	16	26	39	4760	48	1376	2092	6746
28-Jun	52	630	731	16	26	38	4624	48	1396	2266	6957
29-Jun	52	648	730	18	25	37	4494	48	1437	2421	7051
30-Jun	51	681	735	17	24	42	4280	48	1435	2524	7231
1-Jul	52	652	727	19	27	42	4325	40	1477	2587	7196
2-Jul	52	749	513	17	27	43	4314	40	1502	2632	7356
3-Jul	53	777	482	19	30	45	4209	40	1529	2716	7441
4-Jul	53	842	486	23	30	42	4163	40	1601	2761	7727
5-Jul	53	862	488	25	33	47	4123	39	1695	2904	8101
6-Jul	44	903	496	31	33	53	3982	38	1804	2956	8272
